price        sqft_living    
221900    1180
538000    2570
180000    770
604000    1960
510000    1680
1225000    5420
257500    1715
291850    1060
229500    1780
323000    1890
662500    3560
468000    1160
310000    1430
400000    1370
530000    1810
650000    2950
395000    1890
485000    1600
189000    1200
230000    1250
385000    1620
2000000    3050
285000    2270
252700    1070
329000    2450
233000    1710
937000    2450
667000    1400
438000    1520
719000    2570
580500    2320
280000    1190
687500    2330
535000    1090
322500    2060
696000    2300
550000    1660
640000    2360
240000    1220
605000    2620
625000    2570
775000    4220
861990    3595
685000    1570
309000    1280
488000    3160
210490    990
785000    2290
450000    1250
1350000    2753
228000    1190
345000    3150
600000    1410
585000    1980
920000    2730
885000    2830
292500    2250
301000    2420
951000    3250
430000    1850
650000    2150
289000    1260
505000    2519
549000    1540
425000    1660
317625    2770
975000    2720
287000    2240
204000    1000
1325000    3200
1040000    4770
325000    1260
571000    2750
360000    2380
349000    1790
832500    3430
380000    1760
480000    1040
410000    1410
720000    3450
390000    2350
360000    1900
355000    2020
356000    1680
315000    960
940000    2140
305000    2660
461000    2770
215000    1610
335000    1030
243500    1980
1099880    3520
153000    1200
430000    1580
700000    1580
905000    3300
247500    1960
199000    1160
314000    1810
437500    2320
